Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
158,640,158Gd,  ,-70690.0     ,   1.0     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,17,1933, IS=24.84 8
158,650,158Tb,  ,-69470.9     ,   1.3     ,            ,           ,  , , , 180     , y, 11     ,3-*           ,4,1957, B+=83.4 7;B-=16.6 7
158,651,158Tb,m ,-69360.6     ,   1.8     ,  110.3     ,   1.2     ,  , , ,  10.70  , s, 0.17   ,0-            ,17,1957, IT~100;B- ?;B+ ?
158,652,158Tb,n ,-69082.5     ,   1.3     ,  388.39    ,   0.11    ,  , , , 400     ,us, 40     ,7-            ,17,1961, IT=100
158,660,158Dy,  ,-70407.2     ,   2.3     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,17,1938, IS=0.095 3;A ?;2B+ ?
158,670,158Ho,  ,-66187       ,  27       ,            ,           ,  , , ,  11.3   , m, 0.4    ,5+*           ,17,1961, B+~100;A ?
158,671,158Ho,m ,-66120       ,  27       ,   67.20    ,   0.01    ,  , , ,  28     , m, 2      ,2-*           ,17,1960, IT~91 6;B+~9 6
158,672,158Ho,n ,-66095       ,  27       ,   91.595   ,   0.012   ,  , , , 140     ,ns, 25     ,(2-)          ,17,2005, IT=100
158,673,158Ho,p ,-66010#      ,  80#      ,  180#      ,  70#      ,  , , ,  21.3   , m, 2.3    ,(9+)          ,17,1970, B+~100;IT ?
158,680,158Er,  ,-65304       ,  25       ,            ,           ,  , , ,   2.29  , h, 0.06   ,0+            ,17,1961, EC=100
158,690,158Tm,  ,-58703       ,  25       ,            ,           ,  ,*, ,   3.98  , m, 0.06   ,2-*           ,17,1970, B+=100
158,691,158Tm,m ,-58600#      ,  60#      ,  100#      ,  50#      ,  ,*, , ~20     , s,        ,5-#           ,17,1981, IT ?; EC ?
158,700,158Yb,  ,-56010       ,   8       ,            ,           ,  , , ,   1.49  , m, 0.13   ,0+            ,17,1967, B+~100;A~0.0021 12
158,710,158Lu,  ,-47212       ,  15       ,            ,           ,  , , ,  10.6   , s, 0.3    ,(2)-          ,17,1979, B+=99.09 20;A=0.91 20
158,720,158Hf,  ,-42102       ,  17       ,            ,           ,  , , ,   2.85  , s, 0.07   ,0+            ,17,1965, B+=55.7 19;A=44.3 19
158,730,158Ta,  ,-31120#      , 200#      ,            ,           ,  , , ,  49     ,ms, 4      ,(2)-          ,17,1979, A~100;B+ ?
158,731,158Ta,m ,-30980#      , 200#      ,  141       ,  11       ,AD, , ,  36.0   ,ms, 0.8    ,(9)+          ,17,1979, A=95 5;B+ ?;IT ?
158,732,158Ta,n ,-28310#      , 200#      , 2808       ,  16       ,  , , ,   6.1   ,us, 0.1    ,(19-)         ,17,2014, IT=98.6 2;A=1.4 2
158,740,158W ,  ,-23690#      , 300#      ,            ,           ,  , , ,   1.43  ,ms, 0.18   ,0+            ,17,1981, A=100
158,741,158W ,m ,-21800#      , 300#      , 1889       ,   8       ,AD, , , 143     ,us, 19     ,(8+)          ,17,1995, A=100;IT ?
159,580,159Ce,  ,-31340#      , 500#      ,            ,           ,  , , ,         ,  ,        ,1/2-#         ,,, B- ?;B-n ?
159,590,159Pr,  ,-40770#      , 400#      ,            ,           ,  , , , 134     ,ms, 43     ,3/2-#         ,17,2017, B-=100;B-n ?
159,600,159Nd,  ,-49724       ,  30       ,            ,           ,  , , , 500     ,ms, 30     ,7/2+#         ,17,2012, B-=100;B-n ?
159,610,159Pm,  ,-56554       ,  10       ,            ,           ,  , , ,   1.49  , s, 0.13   ,(5/2-)        ,12,1998, B-=100
159,611,159Pm,m ,-55089       ,  10       , 1465.0     ,   0.5     ,  , , ,   4.42  ,us, 0.17   ,17/2+#        ,,2015, IT=100
159,620,159Sm,  ,-62208       ,   6       ,            ,           ,  , , ,  11.37  , s, 0.15   ,5/2-          ,12,1986, B-=100
159,621,159Sm,m ,-60932       ,   6       , 1276.5     ,   0.8     ,  , , , 116     ,ns, 8      ,(15/2+)       ,12,2009, IT=100
159,630,159Eu,  ,-66043       ,   4       ,            ,           ,  , , ,  18.1   , m, 0.1    ,5/2+*         ,12,1961, B-=100
159,640,159Gd,  ,-68561.9     ,   1.0     ,            ,           ,  , , ,  18.479 , h, 0.004  ,3/2-*         ,12,1949, B-=100
159,650,159Tb,  ,-69532.6     ,   1.1     ,            ,           ,  , , , stbl    ,  ,        ,3/2+*         ,12,1933, IS=100
159,660,159Dy,  ,-69167.2     ,   1.4     ,            ,           ,  , , , 144.4   , d, 0.2    ,3/2-*         ,12,1951, EC=100
159,661,159Dy,m ,-68814.4     ,   1.4     ,  352.77    ,   0.14    ,  , , , 122     ,us, 3      ,11/2-         ,12,1965, IT=100
159,670,159Ho,  ,-67330       ,   3       ,            ,           ,  , , ,  33.05  , m, 0.11   ,7/2-*         ,12,1958, B+=100
159,671,159Ho,m ,-67124       ,   3       ,  205.91    ,   0.05    ,  , , ,   8.30  , s, 0.08   ,1/2+          ,12,1966, IT=100
159,680,159Er,  ,-64561       ,   4       ,            ,           ,  , , ,  36     , m, 1      ,3/2-*         ,12,1962, B+=100
159,681,159Er,m ,-64378       ,   4       ,  182.602   ,   0.024   ,  , , , 337     ,ns, 14     ,9/2+          ,12,1971, IT=100
159,682,159Er,n ,-64132       ,   4       ,  429.05    ,   0.03    ,  , , , 590     ,ns, 60     ,11/2-         ,12,1971, IT=100
159,690,159Tm,  ,-60570       ,  28       ,            ,           ,  , , ,   9.13  , m, 0.16   ,5/2+*         ,12,1971, B+=100
159,700,159Yb,  ,-55834       ,  18       ,            ,           ,  , , ,   1.67  , m, 0.09   ,5/2-*         ,12,1975, B+=100
159,710,159Lu,  ,-49710       ,  40       ,            ,           ,  ,*, ,  12.1   , s, 1.0    ,1/2+          ,12,1980, B+~100;A= ?
159,711,159Lu,m ,-49610#      ,  90#      ,  100#      ,  80#      ,  ,*, ,  10#    , s,        ,11/2-#        ,,, B+ ?;IT ?;A ?
159,720,159Hf,  ,-42853       ,  17       ,            ,           ,  , , ,   5.20  , s, 0.10   ,7/2-          ,12,1973, B+=65 7;A=35 7
159,730,159Ta,  ,-34439       ,  20       ,            ,           ,  , , ,   1.04  , s, 0.09   ,1/2+          ,12,1979, B+=66 5;A=34 5
159,731,159Ta,m ,-34375       ,  19       ,   64       ,   5       ,AD, , , 560     ,ms, 60     ,11/2-         ,12,1994, A=55 1;B+=45 1
159,740,159W ,  ,-25430#      , 300#      ,            ,           ,  , , ,   8.2   ,ms, 0.7    ,7/2-#         ,12,1981, A~100;B+ ?
159,750,159Re,  ,-14810#      , 310#      ,            ,           ,  , , ,  40#    ,us,        ,1/2+#         ,,2006, p ?;A ?
159,751,159Re,m ,-14600#      , 300#      ,  210#      ,  50#      ,  , , ,  20     ,us, 4      ,11/2-         ,12,2006, p=92.5 35;A=7.5 35
160,590,160Pr,  ,-36200#      , 400#      ,            ,           ,  , , , 170     ,ms, 140    ,1+#           ,17,2017, B-=100;B-n ?
160,600,160Nd,  ,-46720       ,  50       ,            ,           ,  , , , 439     ,ms, 37     ,0+            ,17,1985, B-=100;B-n ?
160,601,160Nd,m ,-45610       ,  50       , 1107.9     ,   0.9     ,  , , ,   1.63  ,us, 0.21   ,(4-)          ,17,2016, IT=100
160,610,160Pm,  ,-52894.6     ,   2.0     ,            ,           ,  , , , 725     ,ms, 57     ,6-#           ,17,2012, B-=100;B-n ?
160,611,160Pm,m ,-52704       ,  11       ,  191       ,  11       ,MD, , ,>700     ,ms,        ,1-#           ,,2020, B- ?; IT ?;B-n ?
160,620,160Sm,  ,-60233.2     ,   2.0     ,            ,           ,  , , ,   9.6   , s, 0.3    ,0+            ,5,1986, B-=100
160,621,160Sm,m ,-58871.9     ,   2.0     , 1361.3     ,   0.4     ,  , , , 120     ,ns, 46     ,(5-)          ,,2009, IT=100
160,622,160Sm,n ,-57475.9     ,   2.0     , 2757.3     ,   0.4     ,  , , ,   1.8   ,us, 0.4    ,(11+)         ,,2016, IT=100
160,630,160Eu,  ,-63493.4     ,   0.9     ,            ,           ,  , , ,  42.6   , s, 0.5    ,(5-)          ,5,1973, B-=100
160,631,160Eu,m ,-63400.4     ,   0.8     ,   93.0     ,   1.2     ,MD, , ,  30.8   , s, 0.5    ,(1-)          ,5,2016, B-=100
160,640,160Gd,  ,-67942.1     ,   1.1     ,            ,           ,  , , , stbl    ,  , >31Ey  ,0+            ,5,1933, IS=21.86 3;2B- ?
160,650,160Tb,  ,-67836.5     ,   1.1     ,            ,           ,  , , ,  72.3   , d, 0.2    ,3-*           ,5,1943, B-=100
160,660,160Dy,  ,-69672.4     ,   0.7     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,5,1938, IS=2.329 18
160,670,160Ho,  ,-66382       ,  15       ,            ,           ,  , , ,  25.6   , m, 0.3    ,5+*           ,5,1950, B+=100
160,671,160Ho,m ,-66322       ,  15       ,   59.98    ,   0.03    ,  , , ,   5.02  , h, 0.05   ,2-*           ,5,1955, IT=73 3;B+=27 3
160,672,160Ho,n ,-66185       ,  22       ,  197       ,  16       ,  , , ,  ~3     , s,        ,(9+)          ,5,1988, IT=100
160,680,160Er,  ,-66064       ,  24       ,            ,           ,  , , ,  28.58  , h, 0.09   ,0+            ,5,1954, EC=100
160,690,160Tm,  ,-60300       ,  30       ,            ,           ,  , , ,   9.4   , m, 0.3    ,1-*           ,5,1970, B+=100
160,691,160Tm,m ,-60230       ,  30       ,   67       ,  14       ,  , , ,  74.5   , s, 1.5    ,(5+)          ,5,1983, IT=85 5;B+=15 5
160,692,160Tm,n ,-60090#      ,  60#      ,  215#      ,  52#      ,  , , ,~200     ,ns,        ,(8)           ,5,1986, IT=100
160,700,160Yb,  ,-58163       ,   5       ,            ,           ,  , , ,   4.8   , m, 0.2    ,0+            ,5,1967, B+=100
160,710,160Lu,  ,-50270       ,  60       ,            ,           ,  ,*, ,  36.1   , s, 0.3    ,2-#           ,5,1979, B+=100;A ?
160,711,160Lu,m ,-50270#      , 120#      ,    0#      , 100#      ,  ,*, ,  40     , s, 1      ,              ,5,1980, B+~100;A ?
160,720,160Hf,  ,-45939       ,  10       ,            ,           ,  , , ,  13.6   , s, 0.2    ,0+            ,5,1973, B+=99.3 2;A=0.7 2
160,730,160Ta,  ,-35820       ,  50       ,            ,           ,  ,*,&,   1.70  , s, 0.20   ,(2)-          ,5,1979, B+ ?;A=?
160,731,160Ta,m ,-35710       , 240       ,  110       , 250       ,  ,*,&,   1.55  , s, 0.04   ,"(9,10)+       ",5,1979, B+ ?;A=?
160,740,160W ,  ,-29330       , 150       ,            ,           ,  , , ,  90     ,ms, 5      ,0+            ,5,1979, A=87 8;B+ ?
160,750,160Re,  ,-16880#      , 300#      ,            ,           ,  , , , 611     ,us, 7      ,(4-)          ,5,1992, p=89 1;A=11 1
160,751,160Re,m ,-16700#      , 300#      ,  177       ,  15       ,  , , ,   2.8   ,us, 0.1    ,(9+)          ,,2011, IT=100
161,590,161Pr,  ,-32490#      , 500#      ,            ,           ,  , , ,  90#    ,ms, >550ns ,3/2-#         ,,2018, B- ?;B-n ?
161,600,161Nd,  ,-42230#      , 400#      ,            ,           ,  , , , 215     ,ms, 76     ,1/2-#         ,17,2012, B-=100;B-n ?
161,610,161Pm,  ,-50087       ,   9       ,            ,           ,  , , ,   1.05  , s, 0.15   ,(5/2-)        ,17,2012, B-=100;B-n ?
161,611,161Pm,m ,-49121       ,   9       ,  965.9     ,   0.9     ,  , , ,   0.89  ,us, 0.09   ,(13/2+)       ,17,2015, IT=100
161,620,161Sm,  ,-56672       ,   7       ,            ,           ,  , , ,   4.8   , s, 0.4    ,7/2+#         ,11,1998, B-=100
161,621,161Sm,m ,-55284       ,   7       , 1388.1     ,   0.6     ,  , , ,   2.6   ,us, 0.4    ,(17/2-)       ,,2017, IT=100
161,630,161Eu,  ,-61792       ,  10       ,            ,           ,  , , ,  26.2   , s, 2.3    ,5/2+#         ,11,1986, B-=100
161,640,161Gd,  ,-65506.1     ,   1.5     ,            ,           ,  , , ,   3.646 , m, 0.003  ,5/2-          ,11,1949, B-=100
161,650,161Tb,  ,-67461.8     ,   1.2     ,            ,           ,  , , ,   6.948 , d, 0.005  ,3/2+*         ,11,1949, B-=100
161,660,161Dy,  ,-68055.5     ,   0.7     ,            ,           ,  , , , stbl    ,  ,        ,5/2+*         ,11,1934, IS=18.889 42
161,661,161Dy,m ,-67569.9     ,   0.7     ,  485.56    ,   0.16    ,  , , , 760     ,ns, 170    ,11/2-         ,11,2012, IT=100
161,670,161Ho,  ,-67196.3     ,   2.2     ,            ,           ,  , , ,   2.48  , h, 0.05   ,7/2-*         ,11,1954, EC=100
161,671,161Ho,m ,-66985.2     ,   2.2     ,  211.15    ,   0.03    ,  , , ,   6.76  , s, 0.07   ,1/2+          ,11,1965, IT=100
161,680,161Er,  ,-65201       ,   9       ,            ,           ,  , , ,   3.21  , h, 0.03   ,3/2-*         ,11,1954, B+=100
161,681,161Er,m ,-64805       ,   9       ,  396.44    ,   0.04    ,  , , ,   7.5   ,us, 0.7    ,11/2-         ,11,1969, IT=100
161,690,161Tm,  ,-61899       ,  28       ,            ,           ,  , , ,  30.2   , m, 0.8    ,7/2+*         ,11,1959, B+=100
161,691,161Tm,m ,-61891       ,  28       ,    7.51    ,   0.24    ,  , , ,   5#    , m,        ,(1/2+)        ,11,1981, B+ ?;IT ?
161,692,161Tm,n ,-61821       ,  28       ,   78.20    ,   0.03    ,  , , , 110     ,ns, 3      ,7/2-          ,11,1981, IT=100
161,700,161Yb,  ,-57834       ,  15       ,            ,           ,  , , ,   4.2   , m, 0.2    ,3/2-*         ,11,1974, B+=100
161,710,161Lu,  ,-52562       ,  28       ,            ,           ,  , , ,  77     , s, 2      ,1/2+*         ,11,1973, B+=100
161,711,161Lu,m ,-52380#      ,  28#      ,  182#      ,   5#      ,  , , ,   7.3   ,ms, 0.4    ,(9/2-)        ,11,1973, IT~100;B+ ?
161,720,161Hf,  ,-46316       ,  23       ,            ,           ,  , , ,  18.4   , s, 0.4    ,(7/2-)        ,15,1973, B+=99.71 5;A=0.29 5
161,721,161Hf,m ,-45987       ,  23       ,  329.0     ,   0.5     ,  , , ,   4.8   ,us, 0.2    ,(13/2+)       ,15,2014, IT=100
161,730,161Ta,  ,-38779       ,  24       ,            ,           ,  ,*, ,   3#    , s,        ,(1/2+)        ,11,1979, B+ ?;A ?
161,731,161Ta,m ,-38717       ,  12       ,   61       ,  23       ,AD,*, ,   3.08  , s, 0.11   ,(11/2-)       ,11,1979, B+=93 3;A=7 3
161,740,161W ,  ,-30510#      , 200#      ,            ,           ,  , , , 409     ,ms, 16     ,7/2-#         ,11,1973, A=73 3;B+=27 3
161,750,161Re,  ,-20840       , 150       ,            ,           ,  , , , 440     ,us, 1      ,1/2+          ,11,1979, p~100;A ?
161,751,161Re,m ,-20720       , 150       ,  123.7     ,   1.3     ,IT, , ,  14.7   ,ms, 0.3    ,11/2-         ,11,1979, A=93.0 3;p=7.0 3
161,760,161Os,  ,-10200#      , 400#      ,            ,           ,  , , , 640     ,us, 60     ,(7/2-)        ,11,2010, A~100
162,600,162Nd,  ,-39010#      , 400#      ,            ,           ,  , , , 310     ,ms, 200    ,0+            ,17,2012, B-=100
162,610,162Pm,  ,-46040#      , 300#      ,            ,           ,  , , , 630     ,ms, 180    ,2+#           ,17,2012, B-=100;B-n ?
162,620,162Sm,  ,-54379       ,   4       ,            ,           ,  , , ,   2.7   , s, 0.3    ,0+            ,7,2005, B-=100
162,621,162Sm,m ,-53370       ,   4       , 1009.4     ,   0.5     ,  , , ,   1.78  ,us, 0.07   ,(4-)          ,,2017, IT=100
162,630,162Eu,  ,-58722.9     ,   1.3     ,            ,           ,  , , , ~10     , s,        ,1+#           ,7,1987, B-=100
162,631,162Eu,m ,-58565.0     ,   1.3     ,  158.0     ,   1.7     ,MD, , ,  15.0   , s, 0.5    ,(6+)          ,7,2016, B-=100
162,640,162Gd,  ,-64281       ,   4       ,            ,           ,  , , ,   8.4   , m, 0.2    ,0+            ,7,1967, B-=100
162,650,162Tb,  ,-65879.5     ,   2.0     ,            ,           ,  , , ,   7.60  , m, 0.15   ,(1-)          ,16,1965, B-=100
162,651,162Tb,m ,-65594.0     ,   2.5     ,  286       ,   3       ,  , , ,  10#    , m,        ,4-#           ,,2020, B- ?; IT ?
162,660,162Dy,  ,-68181.2     ,   0.7     ,            ,           ,  , , , stbl    ,  ,        ,0+            ,7,1934, IS=25.475 36
162,661,162Dy,m ,-65993.1     ,   0.8     , 2188.1     ,   0.3     ,  , , ,   8.3   ,us, 0.3    ,8+            ,,2011, IT=100
162,670,162Ho,  ,-66041       ,   3       ,            ,           ,  , , ,  15.0   , m, 1.0    ,1+*           ,7,1957, B+=100
162,671,162Ho,m ,-65935       ,   3       ,  105.87    ,   0.06    ,  , , ,  67.0   , m, 0.7    ,6-*           ,7,1961, IT=62;B+=38
162,680,162Er,  ,-66334.2     ,   0.8     ,            ,           ,  , , , stbl    ,  , >140Ty ,0+            ,7,1938, IS=0.139 5;A ?;2B+ ?
162,681,162Er,m ,-64308.2     ,   0.8     , 2026.01    ,   0.13    ,  , , ,  88     ,ns, 16     ,7(-)          ,7,1974, IT=100
162,690,162Tm,  ,-61477       ,  26       ,            ,           ,  , , ,  21.70  , m, 0.19   ,1-*           ,7,1963, B+=100
162,691,162Tm,m ,-61350       ,  50       ,  130       ,  40       ,  , , ,  24.3   , s, 1.7    ,5+            ,7,1974, IT=81 4;B+=19 4
162,700,162Yb,  ,-59821       ,  15       ,            ,           ,  , , ,  18.87  , m, 0.19   ,0+            ,7,1963, B+=100
162,710,162Lu,  ,-52830       ,  80       ,            ,           ,  ,*, ,   1.37  , m, 0.02   ,1-*           ,7,1978, B+=100
162,711,162Lu,m ,-52710#      , 220#      ,  120#      , 200#      ,  ,*, ,   1.5   , m,        ,4-#           ,7,1980, B+~100;IT ?
162,712,162Lu,n ,-52530#      , 220#      ,  300#      , 200#      ,EU, , ,   1.9   , m,        ,9-#           ,7,1980, B+ ?;IT ?
162,720,162Hf,  ,-49168       ,   9       ,            ,           ,  , , ,  39.4   , s, 0.9    ,0+            ,7,1982, B+=99.992 1;A=0.008 1
162,730,162Ta,  ,-39780       ,  60       ,            ,           ,  ,*, ,   3.57  , s, 0.12   ,3-#           ,16,1985, B+=99.926 10;A=0.074 10
162,731,162Ta,m ,-39660#      ,  80#      ,  120#      ,  50#      ,  ,*, ,   5#    , s,        ,7+#           ,,, B+ ?;IT ?;A ?
162,740,162W ,  ,-33999       ,  18       ,            ,           ,  , , ,   1.19  , s, 0.12   ,0+            ,16,1973, B+ ?;A=45.2 16
162,750,162Re,  ,-22450#      , 200#      ,            ,           ,  , , , 107     ,ms, 13     ,(2)-          ,7,1979, A=94 6;B+ ?
162,751,162Re,m ,-22280#      , 200#      ,  175       ,   9       ,AD, , ,  77     ,ms, 9      ,(9)+          ,7,1979, A=91 5;B+ ?
162,760,162Os,  ,-14500#      , 300#      ,            ,           ,  , , ,   2.1   ,ms, 0.1    ,0+            ,7,1989, A=100
163,600,163Nd,  ,-34080#      , 500#      ,            ,           ,  , , ,  80#    ,ms, >550ns ,5/2-#         ,,2018, B- ?;B-n ?
163,610,163Pm,  ,-42960#      , 400#      ,            ,           ,  , , , 255     ,ms, 25     ,5/2-#         ,17,2012, B-=100;B-n ?
163,620,163Sm,  ,-50600       ,   7       ,            ,           ,  , , ,   1.3   , s, 0.5    ,1/2-#         ,17,2012, B-=100
163,630,163Eu,  ,-56573.8     ,   0.9     ,            ,           ,  , , ,   7.7   , s, 0.4    ,5/2+#         ,10,2007, B-=100
163,631,163Eu,m ,-55609.3     ,   1.0     ,  964.5     ,   0.5     ,  , , , 911     ,ns, 24     ,(13/2-)       ,,2017, IT=100
163,640,163Gd,  ,-61388.6     ,   0.8     ,            ,           ,  , , ,  68     , s, 3      ,7/2+          ,10,1982, B-=100
163,641,163Gd,m ,-61250.4     ,   0.8     ,  138.22    ,   0.20    ,  , , ,  23.5   , s, 1.0    ,1/2-          ,,2014, IT= ?;B- ?
163,650,163Tb,  ,-64596       ,   4       ,            ,           ,  , , ,  19.5   , m, 0.3    ,3/2+          ,10,1966, B-=100
163,660,163Dy,  ,-66380.9     ,   0.7     ,            ,           ,  , , , stbl    ,  ,        ,5/2-*         ,10,1934, IS=24.896 42
163,670,163Ho,  ,-66378.0     ,   0.7     ,            ,           ,  , , ,   4.570 ,ky, 0.025  ,7/2-*         ,10,1957, EC=100
163,671,163Ho,m ,-66080.1     ,   0.7     ,  297.88    ,   0.07    ,  , , ,   1.09  , s, 0.03   ,1/2+          ,10,1957, IT=100
163,672,163Ho,n ,-64268.6     ,   0.8     , 2109.4     ,   0.4     ,  , , , 800     ,ns, 150    ,(23/2+)       ,,2012, IT=100
163,680,163Er,  ,-65167       ,   5       ,            ,           ,  , , ,  75.0   , m, 0.4    ,5/2-*         ,10,1953, B+=100
163,681,163Er,m ,-64722       ,   5       ,  445.5     ,   0.6     ,  , , , 580     ,ns, 100    ,(11/2-)       ,10,1974, IT=100
163,690,163Tm,  ,-62728       ,   6       ,            ,           ,  , , ,   1.810 , h, 0.005  ,1/2+*         ,10,1959, B+=100
163,691,163Tm,m ,-62641       ,   6       ,   86.92    ,   0.05    ,  , , , 380     ,ns, 30     ,(7/2)-        ,10,1975, IT=100
163,700,163Yb,  ,-59294       ,  15       ,            ,           ,  , , ,  11.05  , m, 0.35   ,3/2-*         ,10,1967, B+=100
163,710,163Lu,  ,-54791       ,  28       ,            ,           ,  , , ,   3.97  , m, 0.13   ,1/2+*         ,10,1979, B+=100
163,720,163Hf,  ,-49269       ,  26       ,            ,           ,  , , ,  40.0   , s, 0.6    ,(5/2-)        ,15,1982, B+=100;A ?
163,730,163Ta,  ,-42530       ,  40       ,            ,           ,  , , ,  10.6   , s, 1.8    ,1/2+          ,10,1985, B+~100;A ?
163,731,163Ta,m ,-42400#      ,  40#      ,  138#      ,  18#      ,AD, , ,  10#    , s,        ,9/2-          ,,, B+ ?;A ?;IT ?
163,740,163W ,  ,-34910       ,  60       ,            ,           ,  , , ,   2.63  , s, 0.09   ,7/2-          ,10,1973, B+ ?;A=14 2
163,741,163W ,m ,-34430       ,  60       ,  480.3     ,   0.7     ,  , , , 154     ,ns, 3      ,13/2+         ,10,2010, IT=100
163,750,163Re,  ,-26002       ,  19       ,            ,           ,  , , , 390     ,ms, 70     ,1/2+          ,10,1979, B+ ?;A=32 3
163,751,163Re,m ,-25882       ,  19       ,  120       ,   5       ,AD, , , 214     ,ms, 5      ,11/2-         ,10,1979, A=66 4;B+ ?
