Mass Number (AAA),"Atomic Number (ZZZ); i=0 (gs); i=1,2 (isomers); i=3,4 (levels); i=5 (resonance); i=8,9 (IAS); i=3,4,5,6 can also indicate isomers (when more than two isomers are presented in a nuclide)",Element ,"s=m,n (isomers); s=p,q (levels); s=r (reonance); s=i,j (IAS); s=p,q,r,x can also indicate isomers (when more than two isomers are presented in a nuclide)",Mass Excess in keV (# from systematics),Mass Excess uncertainty in keV (# from systematics),Isomer Excitation Energy in keV (# from systematics),Isomer Excitation Energy uncertainty in keV (# from systematics),Origin of Excitation Energy,Isom.Unc = *  (gs and isomer ordering is uncertain) ,Isom.Inv = &  (the ordering of gs and isomer is reversed compared to ENSDF) ,Half-life (# from systematics); stbl=stable; p-unst=particle unstable,Half-life unit ,Half-life uncertainty,Spin and Parity (* directly measured; # from systematics; T=isospin),Ensdf update year ,Year of Discovery,Decay Modes and their Intensities and Uncertanties in %; IS = Isotopic Abundance in %
88,320,88Ge ,  ,-39520#      , 400#      ,            ,           ,  , , ,  61     ,ms, 6      ,0+            ,14,1997, B-=100;B-n ?;B-2n ?
88,330,88As ,  ,-50450#      , 200#      ,            ,           ,  , , , 270     ,ms, 150    ,              ,14,1994, B-=100;B-n ?
88,340,88Se ,  ,-63884       ,   3       ,            ,           ,  , , ,   1.53  , s, 0.06   ,0+            ,14,1970, B-=100;B-n=0.99 10
88,350,88Br ,  ,-70716       ,   3       ,            ,           ,  , , ,  16.34  , s, 0.08   ,(1-)          ,14,1948, B-=100;B-n=6.58 18
88,351,88Br ,m ,-70446       ,   3       ,  270.17    ,   0.11    ,  , , ,   5.51  ,us, 0.04   ,(4-)          ,14,1970, IT=100
88,360,88Kr ,  ,-79691.3     ,   2.6     ,            ,           ,  , , ,   2.825 , h, 0.019  ,0+            ,14,1939, B-=100
88,370,88Rb ,  ,-82609.00    ,   0.16    ,            ,           ,  , , ,  17.78  , m, 0.03   ,2-*           ,14,1939, B-=100
88,371,88Rb ,m ,-81235.2     ,   0.3     , 1373.8     ,   0.3     ,  , , , 123     ,ns, 13     ,(7+)          ,14,2000, IT=100
88,380,88Sr ,  ,-87921.629   ,   0.006   ,            ,           ,  , , , stbl    ,  ,        ,0+            ,14,1923, IS=82.58 35
88,390,88Y  ,  ,-84299.0     ,   1.5     ,            ,           ,  , , , 106.629 , d, 0.024  ,4-*           ,14,1948, B+=100
88,391,88Y  ,m ,-83906.1     ,   1.5     ,  392.86    ,   0.09    ,  , , , 301     ,us, 3      ,1+            ,14,1955, IT=100
88,392,88Y  ,n ,-83624.5     ,   1.5     ,  674.55    ,   0.04    ,  , , ,  13.98  ,ms, 0.17   ,8+*           ,14,1962, IT=100
88,400,88Zr ,  ,-83629       ,   5       ,            ,           ,  , , ,  83.4   , d, 0.3    ,0+            ,14,1951, EC=100
